FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
12/22/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4556,DAL,"Dallas, TX",PIT,"Pittsburgh, PA",1240,1240,0,9,1249,1603,6,1605,1609,4,0,,0,145,149,134,1060,,,,,
1/14/2022,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5135,CHS,"Charleston, SC",DCA,"Washington, DC",1031,1019,-12,12,1031,1139,11,1159,1150,-9,0,,0,88,91,68,444,,,,,
1/29/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1690,BDL,"Hartford, CT",CLT,"Charlotte, NC",603,558,-5,11,609,750,4,824,754,-30,0,,0,141,116,101,644,,,,,
11/27/2019,Envoy Air,Envoy Air: MQ,MQ,20398,4106,PIA,"Peoria, IL",ORD,"Chicago, IL",1805,1834,29,12,1846,1926,8,1910,1934,24,0,,0,65,60,40,130,0,0,0,0,24
2/10/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3823,MCO,"Orlando, FL",BUF,"Buffalo, NY",1940,2000,20,7,2007,2218,3,2215,2221,6,0,,0,155,141,131,1011,,,,,
10/5/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4341,DAL,"Dallas, TX",ABQ,"Albuquerque, NM",730,730,0,9,739,809,3,815,812,-3,0,,0,105,102,90,580,,,,,
3/27/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5182,ORD,"Chicago, IL",RST,"Rochester, MN",1125,1120,-5,26,1146,1241,3,1238,1244,6,0,,0,73,84,55,268,,,,,
7/2/2023,Envoy Air,Envoy Air: MQ,MQ,20398,3945,ORD,"Chicago, IL",MEM,"Memphis, TN",2055,2137,42,20,2157,2307,17,2245,2324,39,0,,0,110,107,70,491,0,39,0,0,0
7/27/2023,Republic Airline,Republic Airline: YX,YX,20452,3526,MYR,"Myrtle Beach, SC",EWR,"Newark, NJ",1850,,,,,,,2059,,,1,B,0,129,,,550,,,,,
2/23/2022,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,641,BOS,"Boston, MA",LAS,"Las Vegas, NV",1855,1846,-9,15,1901,2225,37,2155,2302,67,0,,0,360,436,384,2381,0,0,67,0,0
11/14/2019,Republic Airline,Republic Airline: YX,YX,20452,4604,XNA,"Fayetteville, AR",PHL,"Philadelphia, PA",1558,1556,-2,9,1605,1923,10,1945,1933,-12,0,,0,167,157,138,1066,,,,,
8/23/2020,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1272,OMA,"Omaha, NE",STL,"St. Louis, MO",1400,1355,-5,10,1405,1456,3,1510,1459,-11,0,,0,70,64,51,342,,,,,
9/10/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,441,BNA,"Nashville, TN",IAH,"Houston, TX",639,633,-6,30,703,849,5,848,854,6,0,,0,129,141,106,657,,,,,
7/17/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1585,LGA,"New York, NY",MCO,"Orlando, FL",1830,1830,0,42,1912,2124,23,2121,2147,26,0,,0,171,197,132,950,0,0,26,0,0
